x,y,z,dist
-389.620392,91.233955,54.823650,84.000000
-389.567474,91.233582,53.467720,86.000000
-389.514557,91.232880,52.111366,87.000000
-389.408539,91.230392,49.394211,91.000000
-389.249390,91.228455,45.311626,94.000000
-389.196472,91.228951,43.952526,95.000000
-388.984253,91.235428,38.501308,101.000000
-388.931152,91.236984,37.139957,102.000000
-388.878052,91.238335,35.778179,108.000000
-388.612518,91.235550,28.959190,110.000000
-388.559052,91.233589,27.585745,112.000000
-388.293182,91.222992,20.749136,119.000000
-388.240082,91.220932,19.382256,120.000000
-388.186981,91.219322,18.014961,121.000000
-388.133698,91.218224,16.642067,124.000000
-387.974030,91.217590,12.528769,127.000000
-387.920929,91.218292,11.159474,128.000000
-387.867828,91.219368,9.789765,130.000000
-387.814728,91.221283,8.419640,132.000000
-387.602325,91.230118,2.935508,136.000000
-387.549225,91.230011,1.563566,138.000000
-387.070770,91.213120,-10.807570,150.000000
-386.964569,91.211380,-13.559051,153.000000
-386.910370,91.210800,-14.961513,154.000000
-386.857269,91.210350,-16.338047,158.000000
-386.697968,91.210648,-20.469639,160.000000
-386.644867,91.212105,-21.847498,161.000000
-386.591766,91.214218,-23.225670,163.000000
-386.538666,91.216438,-24.604139,165.000000
-386.325714,91.221062,-30.136030,170.000000
-386.272614,91.221428,-31.516136,174.000000
-386.113312,91.222694,-35.658451,175.000000
-386.007111,91.222519,-38.421490,178.000000
-385.954010,91.221550,-39.803455,182.000000
-385.688232,91.210648,-46.717419,186.000000
-385.634949,91.208366,-48.105816,190.000000
-385.422546,91.207802,-53.644337,194.000000
-385.316345,91.211166,-56.414516,196.000000
-385.263245,91.212807,-57.799999,199.000000
-384.997742,91.215462,-64.732574,204.000000
-384.944275,91.214874,-66.127586,207.000000
-384.838074,91.213593,-68.902596,208.000000
-384.784973,91.213120,-70.291931,211.000000
-384.678772,91.212860,-73.069412,212.000000
-384.625671,91.212975,-74.459114,215.000000
-384.466370,91.212715,-78.628189,219.000000
-384.360168,91.210953,-81.407433,221.000000
-384.307068,91.209717,-82.799599,224.000000
-384.200867,91.207016,-85.580307,228.000000
-384.041443,91.203148,-89.760841,229.000000
